Fruits,vegetables,Food
apple,beet greens,Brown rice
avocados,broccoli,oatmeal
bananas,carrots,quinoa
berries,collards,sweet potato
cherries,green beans,whole grain cereal
grape,green peas,whole grain pasta
grapefruit,kale,buckwheat
kiwi fruit,lima beans,bulgur
orange ,spinach ,millet
peaches,tomatoe,mackerel
pears,beetroot,sardine
plums,lettuce,tuna
strawberries,cabbage,salmon
figs,arugula,walnuts
pawpaw,radish,almond
pineapples,onion,lean chicken
dates,bell pepper,lean fish
watermellon,corn oil,
,soybean ,
,sunflower oil,
,olive oil,
,peanut oil,
